Skill,Self-Assessment,Importance
Responsible,0.40,0.76
Honest,0.50,0.76
Hardworking,0.40,0.73
Good decision-maker,0.25,0.72
Confident,0.33,0.69
Team player,0.39,0.68
Good listener,0.39,0.70
Highly motivated,0.31,0.68
Good at dealing with conflict,0.21,0.67
Organized,0.22,0.66
Care about others,0.58,0.66
Take charge,0.24,0.64
Passionate about something,0.47,0.60
Smart,0.45,0.57
Good speaker,0.24,0.59
Nice,0.54,0.58
Outgoing,0.40,0.56
Persistent,0.34,0.55
Persuasive,0.25,0.54
Creative,0.50,0.53
Assertive,0.25,0.51
Strong,0.34,0.52
Flexible,0.26,0.51
